"filename", "language", "Svelte", "JavaScript", "XML", "comment", "blank", "total"
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Correlogram/Correlogram.svelte", "Svelte", 718, 0, 0, 33, 92, 843
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/FFT/FFT.svelte", "Svelte", 905, 0, 0, 6, 110, 1021
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Periodogram/Periodogram.svelte", "Svelte", 849, 0, 0, 3, 105, 957
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Scatterplot/NightBand.svelte", "Svelte", 360, 0, 0, 3, 47, 410
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Scatterplot/Scatterplot.svelte", "Svelte", 905, 0, 0, 19, 90, 1014
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/Tableplot/Tableplot.svelte", "Svelte", 244, 0, 0, 0, 26, 270
"/Users/dcum007/Downloads/AnCiR_next/src/lib/plots/plotMap.js", "JavaScript", 0, 33, 0, 4, 3, 40
"/Users/dcum007/Downloads/AnCiR_next/src/lib/processes/Add.svelte", "Svelte", 29, 0, 0, 0, 6, 35
"/Users/dcum007/Downloads/AnCiR_next/src/lib/processes/EditValue.svelte", "Svelte", 92, 0, 0, 0, 17, 109
"/Users/dcum007/Downloads/AnCiR_next/src/lib/processes/FilterByOtherCol.svelte", "Svelte", 185, 0, 0, 1, 25, 211
"/Users/dcum007/Downloads/AnCiR_next/src/lib/processes/Multiply.svelte", "Svelte", 29, 0, 0, 0, 6, 35
"/Users/dcum007/Downloads/AnCiR_next/src/lib/processes/Normalize.svelte", "Svelte", 155, 0, 0, 0, 26, 181
"/Users/dcum007/Downloads/AnCiR_next/src/lib/processes/Sub.svelte", "Svelte", 74, 0, 0, 1, 8, 83
"/Users/dcum007/Downloads/AnCiR_next/src/lib/processes/processMap.js", "JavaScript", 0, 21, 0, 1, 2, 24
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/AddColumns.svelte", "Svelte", 111, 0, 0, 0, 12, 123
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/AverageColumns.svelte", "Svelte", 106, 0, 0, 0, 12, 118
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/BinnedData.svelte", "Svelte", 170, 0, 0, 3, 24, 197
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/Cosinor.svelte", "Svelte", 177, 0, 0, 3, 26, 206
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/Duplicate.svelte", "Svelte", 80, 0, 0, 1, 11, 92
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/Random.svelte", "Svelte", 66, 0, 0, 0, 12, 78
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/SimulatedData.svelte", "Svelte", 166, 0, 0, 0, 20, 186
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/SmoothedData.svelte", "Svelte", 492, 0, 0, 2, 69, 563
"/Users/dcum007/Downloads/AnCiR_next/src/lib/tableProcesses/tableProcessMap.js", "JavaScript", 0, 21, 0, 1, 2, 24
"/Users/dcum007/Downloads/AnCiR_next/src/lib/test.svelte.js", "JavaScript", 0, 15274, 0, 0, 1, 15275
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/GeneralUtils.js", "JavaScript", 0, 11, 0, 1, 1, 13
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/MathsStats.js", "JavaScript", 0, 45, 0, 7, 10, 62
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/build-info.js", "JavaScript", 0, 1, 0, 0, 0, 1
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/cosinor.js", "JavaScript", 0, 271, 0, 83, 71, 425
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/generateBuild.js", "JavaScript", 0, 7, 0, 0, 3, 10
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/time/DateTimeSelect.svelte", "Svelte", 52, 0, 0, 5, 8, 65
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/time/TimeUtils.js", "JavaScript", 0, 148, 0, 108, 32, 288
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/time/guessTimeFormat.js", "JavaScript", 0, 1111, 0, 4, 28, 1143
"/Users/dcum007/Downloads/AnCiR_next/src/lib/utils/time/guessTimeFormat_d3.js", "JavaScript", 0, 240, 0, 25, 24, 289
"Total", "-", 16858, 18151, 93, 602, 2603, 38307
